	program	optimization_phi	optimization_v0	value
90	example/program_ini.out	7.546875	99.453125	6610.99
91	example/program_ini.out	7.55859375	97.59765625	2247.84
92	example/program_ini.out	7.60546875	99.67578125	302.01
93	example/program_ini.out	7.634765625	102.162109375	2801.69
94	example/program_ini.out	7.640625	98.859375	7812.25
95	example/program_ini.out	7.5791015625	97.9130859375	548.83
96	example/program_ini.out	7.5908203125	100.8076171875	482.692
97	example/program_ini.out	7.6171875	102.5703125	778.364
98	example/program_ini.out	7.588623046875	99.077392578125	127.68
99	example/program_ini.out	7.603271484375	97.945556640625	1316.19
100	example/program_ini.out	7.59393310546875	100.09210205078125	58.2109
101	example/program_ini.out	7.57708740234375	99.49371337890625	969.674
102	example/program_ini.out	7.5983734130859375	99.63026428222656	37.8524
103	example/program_ini.out	7.6036834716796875	100.64497375488281	60.8341
104	example/program_ini.out	7.599918365478516	100.25307846069336	8.63325
105	example/program_ini.out	7.604358673095703	99.79124069213867	199.112
106	example/program_ini.out	7.596539497375488	100.0168867111206	4.74352
107	example/program_ini.out	7.598084449768066	100.6397008895874	73.0681
108	example/program_ini.out	7.59830117225647	99.88262343406677	6.615
109	example/program_ini.out	7.594922304153442	99.64643168449402	14.2334
110	example/program_ini.out	7.598669350147247	100.10141676664352	1.61107
111	example/program_ini.out	7.596907675266266	100.23568004369736	19.3406
112	example/program_ini.out	7.597952798008919	99.97088758647442	0.692781
113	example/program_ini.out	7.600082650780678	100.05541764199734	14.3353
114	example/program_ini.out	7.597425285726786	100.02651944383979	0.571013
115	example/program_ini.out	7.596708733588457	99.89599026367068	1.51395
116	example/program_ini.out	7.597198887728155	99.9473468894139	0.374273
117	example/program_ini.out	7.596671375446022	100.00297874677926	3.23792
118	example/program_ini.out	7.5976324423681945	99.97891037655063	0.0682194
119	example/program_ini.out	7.5974060443695635	99.89973782212473	1.27999
120	example/program_ini.out	7.59742047538748	99.99482403841102	0.167405
121	example/program_ini.out	7.59785403002752	100.02638752554776	0.0733209
122	example/program_ini.out	7.598065997008234	100.01047386368737	0.365616
123	example/program_ini.out	7.597581855792669	99.99873649473011	0.0205971
124	example/program_ini.out	7.597360268133343	99.95125934573298	0.243089
125	example/program_ini.out	7.597730589553976	100.00760548059407	0.00620091
126	example/program_ini.out	7.59768000297845	100.02743159877355	0.138416
127	example/program_ini.out	7.597644332520758	99.99104068210636	0.00963185
128	example/program_ini.out	7.597793066282065	99.99990966797031	0.0523393
129	example/program_ini.out	7.597634658415018	99.99902978804016	0.00200329
130	example/program_ini.out	7.597720915448235	100.01559458652787	0.0283315
131	example/program_ini.out	7.5976634782526276	99.99717915821174	0.00121761
132	example/program_ini.out	7.59756754711367	99.98860346565783	0.0177293
133	example/program_ini.out	7.597689828943899	100.00285497686001	0.000883426
134	example/program_ini.out	7.597718648781509	100.0010043470316	0.00671409
135	example/program_ini.out	7.597655656006641	99.99952342778802	0.00101225
136	example/program_ini.out	7.597682006697912	100.00519924643629	0.00392215
137	example/program_ini.out	7.597668110363949	99.99918418026787	0.00010255
138	example/program_ini.out	7.5977022833012064	100.00251572933986	0.000928483
139	example/program_ini.out	7.597690626477565	100.0017676539519	0.000890455
140	example/program_ini.out	7.597667312830282	100.00027150317598	0.000175276
141	example/program_ini.out	7.597645594250331	99.99660070658383	0.00126969
142	example/program_ini.out	7.597678770270507	100.00129140929096	0.00018123
143	example/program_ini.out	7.597656652923723	99.99816427415288	0.000343716
144	example/program_ini.out	7.597673240933811	100.00050962550644	3.4028e-05
145	example/program_ini.out	7.597674038467478	99.99942230259833	5.03466e-05
146	example/program_ini.out	7.597679169037341	100.00074774783691	0.000108928
147	example/program_ini.out	7.597670875032296	99.99957507216013	2.52355e-05
148	example/program_ini.out	7.5976700774986305	100.00066239506825	0.000136761
149	example/program_ini.out	7.597673048225266	99.99973232571581	7.62802e-06
150	example/program_ini.out	7.597670682323751	99.99879777236951	0.00014524
151	example/program_ini.out	7.597672601281296	100.00008166222221	4.34907e-06
152	example/program_ini.out	7.597674774474266	100.00023891577789	7.78457e-06
153	example/program_ini.out	7.597673799613773	100.00007295487343	7.01076e-07
154	example/program_ini.out	7.597673352669803	100.00042229137982	2.26225e-05
155	example/program_ini.out	7.5976731243364	99.9999048171318	9.07329e-07
156	example/program_ini.out	7.597674322668876	99.99989610978304	6.33735e-06
157	example/program_ini.out	7.597673031628191	100.00003527411242	8.74241e-07
158	example/program_ini.out	7.597673706905563	100.00020341185405	4.31258e-06
159	example/program_ini.out	7.59767326997869	99.99997946581237	5.96249e-08
